Designator,Mid X,Mid Y,Rotation,Layer
C1,103.6,-98.82,90.0,top
C10,216.215,-30.76,0.0,top
C11,216.215,-20.73,0.0,top
C12,216.215,-25.8,0.0,top
C13,194.25,-102.985,90.0,top
C14,189.39,-102.945,90.0,top
C15,184.42,-102.845,90.0,top
C16,177.89,-102.7,90.0,top
C2,116.74,-98.815,90.0,top
C3,95.065,-89.76,180.0,top
C4,111.73,-98.99,90.0,top
C5,82.645,-52.94,0.0,top
C6,155.15,-48.65,90.0,top
C7,116.65,-17.155,270.0,top
C8,76.35,-44.585,90.0,top
C9,71.11,-30.615,270.0,top
FB1,191.7025,-107.64,0.0,top
J1,87.095,-70.47,90.0,top
J10,82.54,-25.11,270.0,top
J11,90.51,-32.99,0.0,top
J12,175.05,-28.07,0.0,top
J13,186.87,-19.3,0.0,top
J14,59.52,-32.23,270.0,top
J15,221.7574,-73.1486,90.0,top
J16,242.1536,-69.9736,180.0,top
J17,165.14,-117.51,0.0,top
J18,225.5266,-53.086,90.0,top
J19,68.29,-25.29,90.0,top
J2,89.37,-49.67,90.0,top
J20,209.71,-20.88,0.0,top
J21,169.14,-102.41,270.0,top
J22,216.144,-70.0244,180.0,top
J23,179.05,-111.58,0.0,top
J24,221.8336,-57.4768,90.0,top
J25,223.78,-82.05,0.0,top
J26,223.66,-110.12,180.0,top
J27,238.18,-93.02,90.0,top
J3,107.37,-87.56,270.0,top
J4,115.22,-106.09,270.0,top
J5,75.84,-70.05,90.0,top
J6,69.1,-59.69,0.0,top
J7,134.92,-48.96,180.0,top
J8,149.85,-47.62,0.0,top
J9,166.01,-57.08,270.0,top
L1,87.66,-97.56,270.0,top
R1,123.56,-23.56,180.0,top
R2,123.56,-17.72,0.0,top
R3,167.01,-18.48,90.0,top
R4,72.71,-36.045,270.0,top
R5,157.49,-110.295,270.0,top
R6,172.93,-111.105,90.0,top
R7,228.595,-102.52,180.0,top
R8,229.98,-110.165,90.0,top
SW1,108.44,-20.34,0.0,top
SW2,175.76,-19.42,0.0,top
TP1,107.41,-81.35,180.0,top
TP10,118.23,-73.33,270.0,top
TP11,118.08,-64.87,270.0,top
TP12,117.95,-56.47,270.0,top
TP13,118.06,-48.05,270.0,top
TP14,134.8,-16.99,0.0,top
TP15,118.17,-39.61,270.0,top
TP16,118.37,-31.23,270.0,top
TP17,130.29,-65.69,0.0,top
TP18,138.7,-65.9,0.0,top
TP19,147.13,-66.02,0.0,top
TP2,118.53,-112.91,0.0,top
TP20,155.49,-66.14,0.0,top
TP21,163.9,-66.16,0.0,top
TP22,172.36,-66.25,0.0,top
TP23,130.45,-73.67,0.0,top
TP24,138.81,-73.73,0.0,top
TP25,147.08,-73.9,0.0,top
TP26,155.49,-74.07,0.0,top
TP27,163.91,-74.04,0.0,top
TP28,172.21,-74.03,0.0,top
TP29,191.91,-38.72,90.0,top
TP3,95.35,-82.6,180.0,top
TP30,191.7,-64.02,90.0,top
TP31,191.79,-47.12,90.0,top
TP32,191.58,-72.43,90.0,top
TP33,191.82,-55.59,90.0,top
TP34,183.44,-29.97,90.0,top
TP35,183.39,-38.5,90.0,top
TP36,183.27,-46.95,90.0,top
TP37,183.3,-55.37,90.0,top
TP38,183.18,-63.75,90.0,top
TP39,197.22,-27.35,90.0,top
TP4,110.17,-112.82,0.0,top
TP40,183.06,-72.32,90.0,top
TP41,197.46,-18.99,90.0,top
TP42,182.22,-94.25,180.0,top
TP43,173.89,-94.15,180.0,top
TP44,165.55,-94.14,180.0,top
TP45,157.16,-94.12,180.0,top
TP46,148.78,-94.03,180.0,top
TP47,140.41,-93.95,180.0,top
TP48,215.35,-77.62,270.0,top
TP49,215.32,-86.04,270.0,top
TP5,110.23,-64.73,270.0,top
TP50,215.37,-94.41,270.0,top
TP51,207.29,-77.35,270.0,top
TP52,207.18,-85.74,270.0,top
TP53,207.18,-94.14,270.0,top
TP54,248.7,-109.5,0.0,top
TP55,215.41,-105.05,270.0,top
TP56,239.15,-109.38,0.0,top
TP57,215.31,-113.47,270.0,top
TP6,110.06,-56.34,270.0,top
TP7,110.06,-47.96,270.0,top
TP8,110.06,-39.52,270.0,top
TP9,110.16,-31.2,270.0,top
U1,95.72,-97.7025,90.0,top
U2,81.905,-61.02,0.0,top
U3,143.49,-37.74,0.0,top
U4,79.785,-36.09,0.0,top
U5,228.4366,-64.316,0.0,top
